query,title,source,publishedAt,url,fetched_at
SPY OR S&P 500,Stocks Retreat as Tech Stocks Fall and the US Labor Market Weakens,NASDAQ Stock Market,2026-02-05T19:07:00Z,https://www.nasdaq.com/articles/stocks-retreat-tech-stocks-fall-and-us-labor-market-weakens,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Stocks Retreat as Tech Stocks Fall and the US Labor Market Weakens,Barchart.com,2026-02-05T16:14:01Z,https://www.barchart.com/story/news/49716/stocks-retreat-as-tech-stocks-fall-and-the-us-labor-market-weakens,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Grey Owl Capital Management Q4 2025 Client Letter,Seeking Alpha,2026-02-05T03:30:00Z,https://seekingalpha.com/article/4866171-grey-owl-capital-management-q4-2025-client-letter,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,"If You Had Put $10K Into an S&P 500 Fund in 2016, Here's What You Would've Had Today",GOBankingRates,2026-02-03T05:41:04Z,https://www.gobankingrates.com/investing/strategy/if-you-had-put-10k-into-sp-500-fund-2016-what-you-wouldve-had-today/,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Merion Road Q4 2025 Letter,Seeking Alpha,2026-01-30T02:30:00Z,https://seekingalpha.com/article/4864206-merion-road-q4-2025-letter,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Bank of America delivers blunt stock market warning investors can't ignore,Bradenton Herald,2026-01-24T17:32:01Z,https://www.bradenton.com/news/business/article314439554.html,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,"Index Construction, Mr. Beast, and the Value Accrual Problem",ar.ca,2026-01-24T18:32:36Z,https://www.ar.ca/blog/index-construction-mr.-beast-and-the-value-accrual-problem,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,FRAMA vs EMA: A Python Backtesting Case Study,Medium,2026-01-21T13:05:45Z,https://ai.gopubby.com/frama-vs-ema-a-python-backtesting-case-study-7893033bf0ba,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,"Index Construction, Mr. Beast, and the Value Accrual Problem",ar.ca,2026-01-20T18:23:21Z,http://www.ar.ca/blog/index-construction-mr.-beast-and-the-value-accrual-problem,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Right Tail Capital Q4 2025 Letter,Seeking Alpha,2026-01-06T06:15:00Z,https://seekingalpha.com/article/4857319-right-tail-capital-q4-2025-letter,2026-02-07T03:00:07.998986+00:00
SPY OR S&P 500,Could Nvidia Be the Best Way to Play the AI Boom in 2026?,NASDAQ Stock Market,2026-02-07T03:25:00Z,https://www.nasdaq.com/articles/could-nvidia-be-best-way-play-ai-boom-2026,2026-02-07T03:44:52.226832+00:00
SPY OR S&P 500,Stocks reel as AI fears dominate market action,Cyprus Mail,2026-02-07T03:30:00Z,https://cyprus-mail.com/2026/02/07/stocks-reel-as-ai-fears-dominate-market-action,2026-02-07T03:44:52.226832+00:00
SPY OR S&P 500,Prosecutor seeks guilty verdicts in spyware case | eKathimerini.com,Ekathimerini,2026-02-07T03:18:05Z,https://www.ekathimerini.com/news/1294641/prosecutor-seeks-guilty-verdicts-in-spyware-case/,2026-02-07T03:44:52.226832+00:00
SPY OR S&P 500,"Dow surges above 50,000 for first time as US stocks regain mojo",ETCFO.com,2026-02-07T03:13:20Z,https://cfo.economictimes.indiatimes.com/news/dow-surges-above-50000-for-first-time-as-us-stocks-regain-mojo/128017766,2026-02-07T03:44:52.226832+00:00
SPY OR S&P 500,"Anthropic's Claude Code Is Taking Over, And This AI Stock Could Be a Big Winner",NASDAQ Stock Market,2026-02-07T02:50:00Z,https://www.nasdaq.com/articles/anthropics-claude-code-taking-over-and-ai-stock-could-be-big-winner,2026-02-07T03:44:52.226832+00:00
